,Unnamed: 0.1,Unnamed: 0,train/loss,train/acc1,train/acc5,val/loss,val/acc1,val/acc5,test/loss,test/acc1,test/acc5,pathnorm1,pathnorm2,pathnorm4,pathnorm8,pathnorm16,margin0_train,margin1/3_train,margin1/2_train,margin2/3_train,margin1_train,epoch,epoch time,batch_size,weight_decay,lr,memory,seed,imp_iter
0,0,0,6.305224677934446,2.0845766067504883,6.613865375518799,5.485732685327156,5.283787727355957,15.404515266418455,5.510181642456055,5.105999946594238,15.05799961090088,8.019787213732272e+29,20.312589684311224,1.416228656698924e-06,1.1971618900694793e-13,2.676300933292552e-27,-0.0071,-0.0061,-0.0051,-0.0047,0.1244,1,374.5430579185486,1024.0,0.0001,0.02,12491.0,,0
1,1,1,4.946528586253164,10.167760848999023,25.275955200195312,4.531053833768599,13.436813354492188,32.031982421875,4.620184983062744,12.745999336242676,30.64999961853028,1.0035128890267431e+29,6.686283656529018,1.3784425877881557e-06,1.1731572700093466e-13,2.6358709295792257e-27,-0.0179,-0.0151,-0.0131,-0.0112,0.0032,2,374.9699022769928,1024.0,0.0001,0.04,12492.0,,0
2,2,2,4.090459884675656,19.86942672729492,41.21195602416992,3.5888996188563587,25.56443977355957,49.67074203491211,3.6933025006866456,23.89200019836425,47.86800003051758,2.089033497145369e+28,2.8926780856385523,1.3365139228573008e-06,1.1714893502683105e-13,2.810106071452736e-27,-0.038,-0.0328,-0.0308,-0.0281,0.012,3,375.0014624595642,1024.0,0.0001,0.06,12492.0,,0
3,3,3,3.566407105341415,27.25402069091797,50.98008346557617,3.490784371897284,27.90059471130371,53.080902099609375,3.616749237289429,25.89999961853028,50.27999877929688,6.574410143137118e+27,1.1898591956313775,1.2956710950769091e-06,1.1715587782651717e-13,2.967320898414736e-27,-0.0428,-0.0368,-0.033,-0.0267,0.0007,4,378.0910851955414,1024.0,0.0001,0.08,12493.0,,0
4,4,4,3.247105241172489,32.30829620361328,56.8458366394043,3.1023267880993304,33.13734436035156,59.313262939453125,3.220166192855835,31.63399887084961,57.39399719238281,3.356790322285264e+27,0.6443179383569834,1.2714408284177023e-06,1.158713939719405e-13,2.8357802543222976e-27,-0.0773,-0.0644,-0.0593,-0.0513,0.003,5,376.93779826164246,1024.0,0.0001,0.1,12493.0,,0
5,5,5,3.012681490094293,36.15208435058594,60.97217178344727,2.6951993708701747,40.31827926635742,66.38444519042969,2.828599747390747,37.80799865722656,64.33000183105469,2.7497864841622605e+27,0.4135226035604671,1.2734373350084822e-06,1.1853469367619545e-13,3.016242961481456e-27,-0.1409,-0.1254,-0.1167,-0.1043,0.0247,6,377.19109869003296,1024.0,0.0001,0.1,12493.0,,0
6,6,6,2.8286433219528098,39.28048324584961,64.16351318359375,2.5023243983511865,43.55597305297852,69.28504180908203,2.632881968688965,41.10799789428711,67.62200164794922,2.829805508474961e+27,0.3919747800243144,1.3097444210187531e-06,1.196103222971781e-13,2.966239640098464e-27,-0.1555,-0.1412,-0.1329,-0.1205,0.0162,7,382.56987595558167,1024.0,0.0001,0.1,12493.0,,0
7,7,7,2.7030213259664264,41.54930877685547,66.33425903320312,2.407756048297015,45.586387634277344,71.94261169433594,2.52937186126709,42.94599914550781,69.67399597167969,3.276173623464576e+27,0.4307482583182199,1.265352515576734e-06,1.2191220094182633e-13,3.1004733479336845e-27,-0.2002,-0.1713,-0.1548,-0.1377,0.0548,8,380.2736072540283,1024.0,0.0001,0.1,12493.0,,0
8,8,8,2.6113722530480192,43.101959228515625,67.85486602783203,2.3745270057246395,45.42959976196289,71.96613311767578,2.500308416824341,43.9839973449707,69.76200103759766,3.95361155767958e+27,0.5723143597038425,1.3068469976367408e-06,1.308680719881271e-13,3.38671326539998e-27,-0.5287,-0.4685,-0.4361,-0.3993,0.0488,9,374.5619781017304,1024.0,0.0001,0.1,12493.0,,0
9,9,9,2.5429297420578405,44.41060256958008,69.0041275024414,2.1965530142959064,49.388519287109375,74.96080017089844,2.313791668701172,47.36000061035156,72.81600189208984,4.617946695792052e+27,0.5895118324124083,1.4744352528954254e-06,1.409977155990741e-13,3.548268992456522e-27,-0.5531,-0.4987,-0.4569,-0.3961,0.1616,10,378.853170633316,1024.0,0.0001,0.1,12493.0,,0
